CaseNumber | Name | Age | Gender | CNIC | Phone | CarPlate | Challan | Robbery | Murder | Drug Selling | Crime Points | Date Modified
67|'Upkh'Hryht''''''''''''|34|'M''''''|';98:=4?>=<;:94;'|'7::989:;<=>'|'HIJ?@7'|8|7|7|8|11|'979:47;478
68|'Mhohk'Tlotvvk'''''''''|40|'T''''''|';98:>49:;<=>?48'|'7:98;<=>?@7'|'WXY89:'|11|7|8|7|21|'979:47?479
69|'Zhpth'Ih{vvs''''''''''|31|'M''''''|';98:?4>=<;:9849'|'7::89?>=<;:'|'STU;<='|10|7|7|8|13|'979:47:48<
70|'^hxhy'Hotlk'''''''''''|41|'T''''''|';98:@4@?>=<;:4:'|'7:;889:;<=>'|'VWX=>?'|9|7|8|7|19|'979:47;497
71|'Hzth'Pxihs''''''''''''|36|'M''''''|';98;74?>=<;:94;'|'7:78;<=>?@7'|'\]^@78'|8|7|7|8|11|'979:47<49<
72|'ahpuhi'Hsp''''''''''''|44|'T''''''|';98;849:;<=>?48'|'7::8=>?@<;:'|'_`a9:;'|11|8|7|7|16|'979:47=4:7
73|'Hsp'YphÅ''''''''''''''|37|'M''''''|';98;94>=<;:9849'|'7:89;<=>?@7'|'HIJ<=>'|10|7|8|7|20|'979:47<47>
74|'Zhkph'Rohu''''''''''''|35|'T''''''|';98;:4@?>=<;:4:'|'7:;8>?@;<=8'|'WXY?@7'|9|8|7|7|14|'979:48747?
75|'Rhzohu'Ihzopy'''''''''|39|'M''''''|';98;;4?>=<;:94;'|'7::8;<=>?@7'|'STU89:'|8|7|7|8|11|'979:47@48<
76|'Hu~hy'Hotlk'''''''''''|36|'T''''''|';98;<49:;<=>?48'|'7:9889:;<=>'|'VWX;<='|11|7|8|7|21|'979:487497
77|'Opuh'Qhtlls'''''''''''|34|'M''''''|';98;=4>=<;:9849'|'7:8989:;<=>'|'\]^>?@'|10|7|7|8|13|'979:48849<
78|'YpÅ~hu'Rohu'''''''''''|40|'T''''''|';98;>4@?>=<;:4:'|'7:;889:;<=>'|'_`a789'|9|7|8|7|19|'979:4894:7
79|'Tlohr'YphÅ''''''''''''|33|'M''''''|';98;?4?>=<;:94;'|'7:78;<=>?@7'|'HIJ:;<'|8|7|7|8|11|'979:47;478
80|'^hxhz'Hsp'''''''''''''|38|'T''''''|';98;@49:;<=>?48'|'7::8=>?@<;:'|'WXY=>?'|11|8|7|7|16|'979:47?479
81|'Mhypoh'Pxihs''''''''''|35|'M''''''|';98<74>=<;:9849'|'7:;8>?@;<=8'|'STU@78'|10|7|8|7|20|'979:47:48<
82|'Ptyhu'Hotlk'''''''''''|43|'T''''''|';98<84@?>=<;:4:'|'7::8;<=>?@7'|'VWX9:;'|9|8|7|7|14|'979:47;497
85|'HÄlzoh'Rohu'''''''''''|37|'M''''''|';98<;4>=<;:9849'|'7::889:;<=>'|'HIJ89:'|10|7|8|7|20|'979:47<47>
86|'Khupzo'Hotlk''''''''''|35|'T''''''|';98<<4@?>=<;:4:'|'7:;8;<=>?@7'|'WXY;<='|9|7|7|8|12|'979:48747?
87|'Hpzoh'Thspr'''''''''''|39|'M''''''|';98<=4?>=<;:94;'|'7:7889:;<=>'|'STU>?@'|8|7|7|8|11|'979:47@48<
88|'Zohopk'YhÅh'''''''''''|36|'T''''''|';98<>49:;<=>?48'|'7:98>?@;<=8'|'VWX789'|11|7|8|7|21|'979:487497
89|'Uhpth'HÅpÅ''''''''''''|33|'M''''''|';98<?4>=<;:9849'|'7:;9;<=?@78'|'\]^:;<'|10|7|7|8|13|'979:48849<
90|'YhmhÄ'Hotlk'''''''''''|38|'T''''''|';98<@4@?>=<;:4:'|'7:8889:;<=>'|'_`a<=>'|9|8|7|7|14|'979:4894:7
91|'Zhuh'PsÄhz''''''''''''|34|'M''''''|';98=74?>=<;:94;'|'7::989:;<=>'|'HIJ?@7'|8|7|7|8|11|'979:47;478
92|'\zthu'Hsp'''''''''''''|40|'T''''''|';98=849:;<=>?48'|'7:98;<=>?@7'|'WXY89:'|11|7|8|7|21|'979:47?479
93|'HÄlzoh'Qh}lk''''''''''|31|'M''''''|';98=94>=<;:9849'|'7::89?>=<;:'|'STU;<='|10|7|7|8|13|'979:47:48<
94|'Ptyhu'Rohu''''''''''''|41|'T''''''|';98=:4@?>=<;:4:'|'7:;889:;<=>'|'VWX=>?'|9|7|8|7|19|'979:47;497
95|'Opuh'Thspr''''''''''''|36|'M''''''|';98=;4?>=<;:94;'|'7:78;<=>?@7'|'\]^@78'|8|7|7|8|11|'979:47<49<
96|'Ipshs'Hsp'''''''''''''|44|'T''''''|';98=<49:;<=>?48'|'7::8=>?@<;:'|'_`a9:;'|11|8|7|7|16|'979:47=4:7
98|'Mhohk'Rohu''''''''''''|35|'T''''''|';98=>4@?>=<;:4:'|'7:;8>?@;<=8'|'WXY?@7'|9|8|7|7|14|'979:48747?
99|'Opyh'Ih{vvs'''''''''''|39|'M''''''|';98=?4?>=<;:94;'|'7::8;<=>?@7'|'STU89:'|8|7|7|8|11|'979:47@48<
100|'Zhhk'Hotlk''''''''''''|36|'T''''''|';98=@49:;<=>?48'|'7:9889:;<=>'|'VWX;<='|11|7|8|7|21|'979:487497
101|'Thouvvy'Rohu''''''''''|34|'M''''''|';98>74>=<;:9849'|'7:8989:;<=>'|'\]^>?@'|10|7|7|8|13|'979:48849<
102|'Hsp'OhtÅh'''''''''''''|40|'T''''''|';98>84@?>=<;:4:'|'7:;889:;<=>'|'_`a789'|9|7|8|7|19|'979:4894:7
103|'Mhypoh'YphÅ'''''''''''|33|'M''''''|';98>94?>=<;:94;'|'7:78;<=>?@7'|'HIJ:;<'|8|7|7|8|11|'979:47;478
104|'Uhkllt'Hryht''''''''''|38|'T''''''|';98>:49:;<=>?48'|'7::8=>?@<;:'|'WXY=>?'|11|8|7|7|16|'979:47?479
105|'Uhpth'Ihzopy''''''''''|35|'M''''''|';98>;4>=<;:9849'|'7:;8>?@;<=8'|'STU@78'|10|7|8|7|20|'979:47:48<
106|'Hhtpy'Pxihs'''''''''''|43|'T''''''|';98><4@?>=<;:4:'|'7::8;<=>?@7'|'VWX9:;'|9|8|7|7|14|'979:47;497
107|'Zhuph'Hotlk'''''''''''|36|'M''''''|';98>=4?>=<;:94;'|'7:8989:;<=>'|'\]^<=>'|8|7|7|8|11|'979:47<49<
108|'Rhzohu'Hsp''''''''''''|44|'T''''''|';98>>49:;<=>?48'|'7:98;<=>?@7'|'VWX?@7'|11|8|7|7|16|'979:47=4:7
110|'Zhsthu'Thspr''''''''''|35|'T''''''|';98>@4@?>=<;:4:'|'7:;889:;<=>'|'HIJ;<='|9|8|7|7|14|'979:48747?
111|'Htpuh'YphÅ''''''''''''|39|'M''''''|';98?74?>=<;:94;'|'7:8989:;<=>'|'_`a>?@'|8|7|7|8|11|'979:47@48<
112|'[hypx'Hotlk'''''''''''|36|'T''''''|';98?849:;<=>?48'|'7:98;<=>?@7'|'WXY789'|11|7|8|7|21|'979:487497
113|'Zhih'Rohu'''''''''''''|34|'M''''''|';98?94>=<;:9849'|'7::8=>?@<;:'|'STU:;<'|10|7|7|8|13|'979:48849<
114|'Hypm'Hsp''''''''''''''|40|'T''''''|';98?:4@?>=<;:4:'|'7:;889:;<=>'|'\]^=>?'|9|8|7|7|14|'979:4894:7
116|'\zthu'Pm{prohy''''''''|38|'T''''''|';98?<49:;<=>?48'|'7::8=>?@<;:'|'WXY9:;'|11|8|7|7|16|'979:47?479
117|'HÄlzoh'Uhllt''''''''''|35|'M''''''|';98?=4>=<;:9849'|'7:;8>?@;<=8'|'STU<=>'|10|7|8|7|20|'979:47:48<
118|'Mhyohu'Thspr''''''''''|41|'T''''''|';98?>4@?>=<;:4:'|'7::8;<=>?@7'|'VWX?@7'|9|7|8|7|19|'979:47;497
119|'Zhtpuh'Pxihs''''''''''|36|'M''''''|';98??4?>=<;:94;'|'7:8989:;<=>'|'\]^89:'|8|7|7|8|11|'979:47<49<
120|'Uhllt'Hotlk'''''''''''|44|'T''''''|';98?@49:;<=>?48'|'7:98;<=>?@7'|'_`a;<='|11|8|7|7|16|'979:47=4:7
121|'Tlohr'Yhzopk''''''''''|37|'M''''''|';98@74>=<;:9849'|'7::8=>?@<;:'|'HIJ>?@'|10|7|7|8|13|'979:47<47>
122|'Hzhk'Hsp''''''''''''''|35|'T''''''|';98@84@?>=<;:4:'|'7:;889:;<=>'|'WXY789'|9|8|7|7|14|'979:48747?
123|'Zhpth'Rohu''''''''''''|39|'M''''''|';98@94?>=<;:94;'|'7:8989:;<=>'|'STU:;<'|8|7|7|8|11|'979:47@48<
124|'Mhyohu'Pxihs''''''''''|41|'T''''''|';98@:4?>=<;:94;'|'7:8989:;<=>'|'\]^>?@'|8|7|7|8|11|'979:47@49<
125|'Opyh'Pxihs''''''''''''|34|'M''''''|';98@;4@?>=<;:4:'|'7::8;<=>?@7'|'\]^@78'|10|7|8|7|20|'979:487497
126|'Uhills'Rohu'''''''''''|40|'T''''''|';98@<49:;<=>?48'|'7:;889:;<=>'|'_`a9:;'|9|8|7|7|14|'979:48849<
127|'HÄlzoh'Hotlk''''''''''|35|'M''''''|';98@=4?>=<;:94;'|'7:8989:;<=>'|'HIJ<=>'|8|7|7|8|11|'979:4894:7
128|'Hsp'YphÅ''''''''''''''|38|'T''''''|';98@>49:;<=>?48'|'7::8=>?@<;:'|'WXY?@7'|11|8|7|7|16|'979:47847;
130|'Ptyhu'Thspr'''''''''''|41|'T''''''|';98@@4@?>=<;:4:'|'7::8;<=>?@7'|'VWX;<='|9|7|8|7|19|'979:47:497
131|'Zhih'Hotlk''''''''''''|36|'M''''''|';99774?>=<;:94;'|'7:8989:;<=>'|'\]^>?@'|8|7|7|8|11|'979:47;49<
132|'Mhyohu'Pxihs''''''''''|44|'T''''''|';997849:;<=>?48'|'7:98;<=>?@7'|'_`a789'|11|8|7|7|16|'979:47<4:7
133|'Opuh'YphÅ'''''''''''''|37|'M''''''|';99794>=<;:9849'|'7::8=>?@<;:'|'HIJ:;<'|10|7|8|7|20|'979:47=47;
134|'Hkuhu'Hsp'''''''''''''|35|'T''''''|';997:4@?>=<;:4:'|'7:;889:;<=>'|'WXY=>?'|9|8|7|7|14|'979:47>47?
135|'UhÅph'Pm{prohy''''''''|39|'M''''''|';997;4?>=<;:94;'|'7:8989:;<=>'|'STU@78'|8|7|7|8|11|'979:47?479
136|'Hotlk'Hsp'''''''''''''|36|'T''''''|';997<49:;<=>?48'|'7:98;<=>?@7'|'VWX9:;'|11|7|8|7|21|'979:47@497
137|'Zhpth'Rohu''''''''''''|34|'M''''''|';997=4>=<;:9849'|'7::8=>?@<;:'|'\]^<=>'|10|7|8|7|20|'979:48749<
138|'Ipshs'Hotlk'''''''''''|40|'T''''''|';997>4@?>=<;:4:'|'7:;889:;<=>'|'_`a?@7'|9|8|7|7|14|'979:4884:7
139|'Opuh'YphÅ'''''''''''''|37|'M''''''|';997?4>=<;:9849'|'7::8=>?@<;:'|'HIJ89:'|8|7|7|8|11|'979:48947;
140|'Hkuhu'Hsp'''''''''''''|35|'T''''''|';997@4@?>=<;:4:'|'7:;889:;<=>'|'WXY;<='|11|7|8|7|21|'979:47847?
141|'UhÅph'Pm{prohy''''''''|39|'M''''''|';99874?>=<;:94;'|'7:8989:;<=>'|'STU>?@'|10|7|7|8|13|'979:47948<
142|'Hotlk'Hsp'''''''''''''|36|'T''''''|';998849:;<=>?48'|'7:98;<=>?@7'|'VWX789'|9|8|7|7|14|'979:47:497
143|'Zhpth'Rohu''''''''''''|34|'M''''''|';99894>=<;:9849'|'7::8=>?@<;:'|'\]^:;<'|8|7|7|8|11|'979:47;49<
144|'Ipshs'Hotlk'''''''''''|40|'T''''''|';998:4@?>=<;:4:'|'7:;889:;<=>'|'_`a=>?'|11|8|7|7|16|'979:47<4:7
145|'Opuh'YphÅ'''''''''''''|37|'M''''''|';998;4>=<;:9849'|'7::8=>?@<;:'|'HIJ@78'|10|7|8|7|20|'979:47=47;
146|'Hkuhu'Hsp'''''''''''''|35|'T''''''|';998<4@?>=<;:4:'|'7:;889:;<=>'|'WXY9:;'|9|8|7|7|14|'979:47>47?
147|'UhÅph'Pm{prohy''''''''|39|'M''''''|';998=4?>=<;:94;'|'7:8989:;<=>'|'STU<=>'|8|7|7|8|11|'979:47?479
148|'Hotlk'Hsp'''''''''''''|36|'T''''''|';998>49:;<=>?48'|'7:98;<=>?@7'|'VWX?@7'|11|7|8|7|21|'979:47@497
149|'Zhpth'Rohu''''''''''''|34|'M''''''|';998?4>=<;:9849'|'7::8=>?@<;:'|'\]^89:'|10|7|8|7|20|'979:48749<
150|'Ipshs'Hotlk'''''''''''|40|'T''''''|';998@4@?>=<;:4:'|'7:;889:;<=>'|'_`a;<='|9|8|7|7|14|'979:4884:7
151|'Opuh'YphÅ'''''''''''''|37|'M''''''|';99974>=<;:9849'|'7:8989:;<=>'|'HIJ>?@'|8|7|7|8|11|'979:48947;
152|'Hkuhu'Hsp'''''''''''''|35|'T''''''|';99984@?>=<;:4:'|'7::8;<=>?@7'|'WXY789'|11|7|8|7|21|'979947847?
153|'UhÅph'Pm{prohy''''''''|39|'M''''''|';99994?>=<;:94;'|'7:;889:;<=>'|'STU:;<'|10|7|7|8|13|'979947948<
154|'Hotlk'Hsp'''''''''''''|36|'T''''''|';999:49:;<=>?48'|'7::8=>?@<;:'|'VWX=>?'|9|8|7|7|14|'979947:497
155|'Zhpth'Rohu''''''''''''|34|'M''''''|';999;4>=<;:9849'|'7:;8>?@;<=8'|'\]^@78'|8|7|7|8|11|'979947;49<
156|'Ipshs'Hotlk'''''''''''|40|'T''''''|';999<4@?>=<;:4:'|'7::8;<=>?@7'|'_`a9:;'|11|8|7|7|16|'979947<4:7
157|'Opuh'YphÅ'''''''''''''|37|'M''''''|';999=4>=<;:9849'|'7:8989:;<=>'|'HIJ<=>'|10|7|8|7|20|'979947=47;
158|'Hkuhu'Hsp'''''''''''''|35|'T''''''|';999>4@?>=<;:4:'|'7:98;<=>?@7'|'WXY?@7'|9|8|7|7|14|'979947>47?
159|'UhÅph'Pm{prohy''''''''|39|'M''''''|';999?4?>=<;:94;'|'7::8=>?@<;:'|'STU89:'|8|7|7|8|11|'979947?479
160|'Hotlk'Hsp'''''''''''''|36|'T''''''|';999@49:;<=>?48'|'7:;889:;<=>'|'VWX;<='|11|7|8|7|21|'979947@497
161|'Zhpth'Rohu''''''''''''|34|'M''''''|';99:74>=<;:9849'|'7:8989:;<=>'|'\]^>?@'|10|7|7|8|13|'979948749<
162|'Ipshs'Hotlk'''''''''''|40|'T''''''|';99:84@?>=<;:4:'|'7:98;<=>?@7'|'_`a789'|9|8|7|7|14|'97994884:7
163|'Opuh'YphÅ'''''''''''''|37|'M''''''|';99:94>=<;:9849'|'7::8=>?@<;:'|'HIJ:;<'|8|7|7|8|11|'979948947;
164|'Hkuhu'Hsp'''''''''''''|35|'T''''''|';99::4@?>=<;:4:'|'7:;889:;<=>'|'WXY=>?'|11|8|7|7|16|'979:47847?
165|'UhÅph'Pm{prohy''''''''|39|'M''''''|';99:;4?>=<;:94;'|'7:8989:;<=>'|'STU@78'|10|7|8|7|20|'979:47948<
166|'Hotlk'Hsp'''''''''''''|36|'T''''''|';99:<49:;<=>?48'|'7::8=>?@<;:'|'VWX9:;'|9|8|7|7|14|'979:47:497
167|'Zhpth'Rohu''''''''''''|34|'M''''''|';99:=4>=<;:9849'|'7:;8>?@;<=8'|'\]^<=>'|8|7|7|8|11|'979:47;49<
168|'Qvou'Kvl''''''''''''''|42|'T''''''|';989:4@?>=<;:4:'|'7:89:;<=>?@'|'_`a?@7'|7|8|8|7|22|'979:47<48<
169|'Hpzoh'Hotlk'''''''''''|38|'M''''''|';99:>4?>=<;:94:'|'7::989:;<=>'|'STU89:'|9|7|7|8|12|'979:47=497
170|'Hsp'YphÅ''''''''''''''|41|'T''''''|';99:?49:;<=>?4:'|'7:;8?@7>=<;'|'VWX;<='|8|8|7|7|13|'979:47>489
171|'Zhtpuh'Pm{prohy'''''''|35|'M''''''|';99:@4:;<=>?@49'|'7:98>=<;:98'|'\]^>?@'|10|7|8|7|20|'979:47?49?
172|'Mhyohu'Hsp''''''''''''|36|'T''''''|';99;74<=>?@784:'|'7::989:;<=>'|'_`a789'|9|8|7|7|14|'979:47@48<
173|'Opyh'Rohu'''''''''''''|33|'M''''''|';99;849:;<=>?4:'|'7:;8?@7>=<;'|'HIJ:;<'|8|7|7|8|11|'979:487479
174|'Ptyhu'Hotlk'''''''''''|39|'T''''''|';99;94:;<=>?@48'|'7:89=<;:987'|'WXY=>?'|11|8|8|7|26|'979:48848?
175|'ahyh'Hsp''''''''''''''|37|'M''''''|';99;:4<=>?@784:'|'7:98;:987@?'|'STU@78'|7|8|7|7|12|'979:489487
176|'\zthu'Rohu''''''''''''|40|'T''''''|';99;;4>?@789:4:'|'7::9>=<;:98'|'VWX9:;'|9|7|7|8|12|'979;47849<
177|'Zhih'Pm{prohy'''''''''|34|'M''''''|';99;<4?@789:;48'|'7:;989:;<=>'|'\]^<=>'|8|7|7|8|11|'979;47947?
178|'Rhzopm'Hotlk''''''''''|43|'T''''''|';99;=4789:;<=4:'|'7:89?@7>=<;'|'_`a?@7'|7|8|7|7|12|'979;47:499
179|'Upkh'YphÅ'''''''''''''|36|'M''''''|';99;>4?@789:;4:'|'7:99=<;:987'|'HIJ89:'|9|7|8|7|19|'979;47;47<
180|'Ohzhu'Hsp'''''''''''''|38|'T''''''|';99;?4789:;<=49'|'7::989:;<=>'|'WXY;<='|8|8|7|7|13|'979;47<48@
181|'HÄlzoh'Rohu'''''''''''|35|'M''''''|';99;@49:;<=>?4:'|'7:;9?@7>=<;'|'STU>?@'|10|7|7|8|13|'979;47=479
182|'Ipshs'Hotlk'''''''''''|41|'T''''''|';99<74:;<=>?@48'|'7:89=<;:987'|'VWX789'|9|8|8|7|24|'979;47>48=
184|'Ptyhu'Rohu''''''''''''|39|'T''''''|';99<94=>?@7894:'|'7::989:;<=>'|'_`a=>?'|11|8|7|7|16|'979;47@48:
185|'Thyph'Pm{prohy''''''''|37|'M''''''|';99<:4>?@789:4:'|'7:;9=<;:987'|'HIJ@78'|7|8|8|7|22|'979;48749>
186|'Uvthu'Hotlk'''''''''''|40|'T''''''|';99<;4?@789:;4:'|'7:89;:987@?'|'WXY9:;'|9|7|7|8|12|'979;488487
187|'Zvmph'YphÅ''''''''''''|34|'M''''''|';99<<4789:;<=4:'|'7:9989:;<=>'|'STU<=>'|8|7|7|8|11|'979;48949;
188|'Htpy'Hsp''''''''''''''|43|'T''''''|';99<=49:;<=>?48'|'7::9;:987@?'|'VWX>?@'|7|8|7|7|12|'979<47847>
189|'Opyh'Hotlk''''''''''''|36|'M''''''|';99<>4:;<=>?@4:'|'7:;989:;<=>'|'\]^789'|9|7|8|7|19|'979<479497
