CaseNumber | Name                  | Age | Gender | CNIC             | Phone         | CarPlate | Challan | Robbery | Murder | Drug Selling | Crime Points | Date Modified
41          | Kashif Ali            | 37  | M      | 42117-2345678-1 | 03316789543 | XYZ234 | 4       | 1       | 0      | 0             | 3            | 2023-06-30
42          | Samina Riaz           | 30  | F      | 42118-7654321-2 | 03124567890 | ABC567 | 3       | 0       | 1      | 0             | 2            | 2023-05-07
43          | Faisal Khan           | 28  | M      | 42119-9876543-3 | 03417894561 | PQR890 | 2       | 1       | 0      | 0             | 1            | 2023-10-08
44          | Noreen Bashir         | 32  | F      | 42120-8765432-4 | 03314567890 | LMN123 | 1       | 0       | 0      | 1             | 1            | 2023-09-15
45          | Adeel Ahmad           | 29  | M      | 42121-2345678-1 | 03211234567 | OPQ456 | 4       | 0       | 1      | 0             | 3            | 2023-10-20
46          | Sarah Jameel          | 27  | F      | 42122-7654321-2 | 03121234567 | UVW789 | 3       | 0       | 0      | 1             | 2            | 2023-11-25
47          | Imran Khan            | 33  | M      | 42123-9876543-3 | 03411234567 | XYZ012 | 2       | 0       | 1      | 0             | 2            | 2023-12-30
48          | Aisha Riaz            | 26  | F      | 42124-8765432-4 | 03014567890 | ABC345 | 1       | 0       | 0      | 1             | 1            | 2023-04-01
49          | Tariq Ali             | 31  | M      | 42125-2345678-1 | 03316789543 | PQR678 | 4       | 1       | 0      | 0             | 3            | 2023-08-02
50          | Khadija Iqbal         | 28  | F      | 42126-7654321-2 | 03417894561 | LMN901 | 3       | 0       | 1      | 0             | 2            | 2023-03-15
51          | Nabeel Ahmed          | 36  | M      | 42127-9876543-3 | 03314567890 | OPQ234 | 2       | 1       | 0      | 0             | 1            | 2023-04-20
52          | Amina Batool          | 29  | F      | 42128-8765432-4 | 03121234567 | UVW567 | 1       | 0       | 0      | 1             | 1            | 2023-05-25
53          | Bilal Riaz            | 37  | M      | 42129-2345678-1 | 03214567890 | XYZ890 | 4       | 1       | 0      | 0             | 3            | 2023-06-30
54          | Shabnam Khan          | 30  | F      | 42130-7654321-2 | 03311234567 | ABC123 | 3       | 0       | 1      | 0             | 2            | 2023-05-07
55          | Sameer Ahmed          | 28  | M      | 42131-9876543-3 | 03414567890 | PQR456 | 2       | 0       | 0      | 1             | 2            | 2023-10-08
57          | Amir Khan             | 29  | M      | 42133-2345678-1 | 03217894561 | OPQ012 | 4       | 0       | 1      | 0             | 3            | 2023-10-20
58          | Sara Farooq           | 26  | F      | 42134-7654321-2 | 03424568901 | UVW345 | 3       | 0       | 0      | 1             | 2            | 2023-11-25
59          | Bilal Khalid          | 31  | M      | 42135-9876543-3 | 03111234567 | XYZ567 | 2       | 1       | 0      | 0             | 1            | 2023-12-30
60          | Nida Akram            | 27  | F      | 42136-8765432-4 | 03321234567 | ABC890 | 1       | 0       | 0      | 1             | 1            | 2023-04-01
61          | Fahad Mehmood         | 33  | M      | 42137-2345678-1 | 03214567890 | PQR123 | 4       | 0       | 1      | 0             | 3            | 2023-08-02
62          | Saima Batool          | 24  | F      | 42138-7654321-2 | 03312876543 | LMN456 | 3       | 0       | 0      | 1             | 2            | 2023-03-15
63          | Waqar Ahmed           | 34  | M      | 42139-9876543-3 | 03411234567 | OPQ678 | 2       | 0       | 1      | 0             | 2            | 2023-04-20
64          | Asma Iqbal            | 29  | F      | 42140-8765432-4 | 03014567890 | UVW901 | 1       | 0       | 0      | 1             | 1            | 2023-05-25
65          | Zainab Ali            | 37  | M      | 42141-2345678-1 | 03316789543 | XYZ234 | 4       | 1       | 0      | 0             | 3            | 2023-06-30
66          | Ali Riaz              | 30  | F      | 42142-7654321-2 | 03124567890 | ABC567 | 3       | 0       | 1      | 0             | 2            | 2023-05-07
67          | Sadia Khan            | 28  | M      | 42143-9876543-3 | 03417894561 | PQR890 | 2       | 1       | 0      | 0             | 1            | 2023-10-08
68          | Kashan Bashir         | 32  | F      | 42144-8765432-4 | 03314567890 | LMN123 | 1       | 0       | 0      | 1             | 1            | 2023-09-15
69          | Anwar Ahmed           | 29  | M      | 42145-2345678-1 | 03211234567 | OPQ456 | 4       | 0       | 1      | 0             | 3            | 2023-10-20
70          | Hina Jameel           | 27  | F      | 42146-7654321-2 | 03121234567 | UVW789 | 3       | 0       | 0      | 1             | 2            | 2023-11-25
71          | Rizwan Khan           | 33  | M      | 42147-9876543-3 | 03411234567 | XYZ012 | 2       | 0       | 1      | 0             | 2            | 2023-12-30
72          | Mehak Riaz            | 26  | F      | 42148-8765432-4 | 03014567890 | ABC345 | 1       | 0       | 0      | 1             | 1            | 2023-04-01
73          | Waqas Ali             | 31  | M      | 42149-2345678-1 | 03316789543 | PQR678 | 4       | 1       | 0      | 0             | 3            | 2023-08-02
74          | Fariha Iqbal          | 28  | F      | 42150-7654321-2 | 03417894561 | LMN901 | 3       | 0       | 1      | 0             | 2            | 2023-03-15
75          | Imran Ahmed           | 36  | M      | 42151-9876543-3 | 03314567890 | OPQ234 | 2       | 1       | 0      | 0             | 1            | 2023-04-20
78          | Ayesha Khan           | 30  | F      | 42154-7654321-2 | 03311234567 | ABC123 | 3       | 0       | 1      | 0             | 2            | 2023-05-07
79          | Danish Ahmed          | 28  | M      | 42155-9876543-3 | 03414567890 | PQR456 | 2       | 0       | 0      | 1             | 2            | 2023-10-08
80          | Aisha Malik           | 32  | F      | 42156-8765432-4 | 03011234567 | LMN789 | 1       | 0       | 0      | 1             | 1            | 2023-09-15
81          | Shahid Raza           | 29  | M      | 42157-2345678-1 | 03217894561 | OPQ012 | 4       | 0       | 1      | 0             | 3            | 2023-10-20
82          | Naima Aziz            | 26  | F      | 42158-7654321-2 | 03424568901 | UVW345 | 3       | 0       | 0      | 1             | 2            | 2023-11-25
83          | Rafay Ahmed           | 31  | M      | 42159-9876543-3 | 03111234567 | XYZ567 | 2       | 1       | 0      | 0             | 1            | 2023-12-30
84          | Sana Ilyas            | 27  | F      | 42160-8765432-4 | 03321234567 | ABC890 | 1       | 0       | 0      | 1             | 1            | 2023-04-01
85          | Usman Ali             | 33  | M      | 42161-2345678-1 | 03214567890 | PQR123 | 4       | 0       | 1      | 0             | 3            | 2023-08-02
86          | Ayesha Javed          | 24  | F      | 42162-7654321-2 | 03312876543 | LMN456 | 3       | 0       | 0      | 1             | 2            | 2023-03-15
87          | Imran Khan            | 34  | M      | 42163-9876543-3 | 03411234567 | OPQ678 | 2       | 0       | 1      | 0             | 2            | 2023-04-20
88          | Hina Malik            | 29  | F      | 42164-8765432-4 | 03014567890 | UVW901 | 1       | 0       | 0      | 1             | 1            | 2023-05-25
89          | Bilal Ali             | 37  | M      | 42165-2345678-1 | 03316789543 | XYZ234 | 4       | 1       | 0      | 0             | 3            | 2023-06-30
91          | Fahad Khan            | 28  | M      | 42167-9876543-3 | 03417894561 | PQR890 | 2       | 1       | 0      | 0             | 1            | 2023-10-08
92          | Hira Batool           | 32  | F      | 42168-8765432-4 | 03314567890 | LMN123 | 1       | 0       | 0      | 1             | 1            | 2023-09-15
93          | Saad Ahmed            | 29  | M      | 42169-2345678-1 | 03211234567 | OPQ456 | 4       | 0       | 1      | 0             | 3            | 2023-10-20
94          | Mahnoor Khan          | 27  | F      | 42170-7654321-2 | 03121234567 | UVW789 | 3       | 0       | 0      | 1             | 2            | 2023-11-25
95          | Ali Hamza             | 33  | M      | 42171-9876543-3 | 03411234567 | XYZ012 | 2       | 0       | 1      | 0             | 2            | 2023-12-30
96          | Fariha Riaz           | 26  | F      | 42172-8765432-4 | 03014567890 | ABC345 | 1       | 0       | 0      | 1             | 1            | 2023-04-01
97          | Nadeem Akram          | 31  | M      | 42173-2345678-1 | 03316789543 | PQR678 | 4       | 1       | 0      | 0             | 3            | 2023-08-02
98          | Naima Bashir          | 28  | F      | 42174-7654321-2 | 03417894561 | LMN901 | 3       | 0       | 1      | 0             | 2            | 2023-03-15
99          | Aamir Iqbal           | 36  | M      | 42175-9876543-3 | 03314567890 | OPQ234 | 2       | 1       | 0      | 0             | 1            | 2023-04-20
100         | Sania Ahmed           | 29  | F      | 42176-8765432-4 | 03121234567 | UVW567 | 1       | 0       | 0      | 1             | 1            | 2023-05-25
101         | Kashan Ali            | 37  | M      | 42177-2345678-1 | 03214567890 | OPQ890 | 4       | 1       | 0      | 0             | 3            | 2023-06-30
103         | Salman Malik          | 28  | M      | 42179-9876543-3 | 03411234567 | ABC456 | 2       | 1       | 0      | 0             | 1            | 2023-10-08
104         | Amina Riaz            | 32  | F      | 42180-8765432-4 | 03121234567 | XYZ789 | 1       | 0       | 0      | 1             | 1            | 2023-09-15
105         | Tariq Ahmed           | 29  | M      | 42181-2345678-1 | 03214567890 | PQR012 | 4       | 0       | 1      | 0             | 3            | 2023-10-20
106         | Saba Khan             | 27  | F      | 42182-7654321-2 | 03316789543 | LMN345 | 3       | 0       | 0      | 1             | 2            | 2023-11-25
107         | Arif Ali              | 33  | M      | 42183-9876543-3 | 03411234567 | UVW678 | 2       | 1       | 0      | 0             | 1            | 2023-12-30
109         | Usman Iftikhar        | 31  | M      | 42185-2345678-1 | 03316789543 | PQR234 | 4       | 1       | 0      | 0             | 3            | 2023-08-02
110         | Ayesha Naeem          | 28  | F      | 42186-7654321-2 | 03417894561 | LMN567 | 3       | 0       | 1      | 0             | 2            | 2023-03-15
111         | Farhan Malik          | 34  | M      | 42187-9876543-3 | 03314567890 | OPQ890 | 2       | 0       | 1      | 0             | 2            | 2023-04-20
112         | Samina Iqbal          | 29  | F      | 42188-8765432-4 | 03121234567 | UVW123 | 1       | 0       | 0      | 1             | 1            | 2023-05-25
113         | Naeem Ahmed           | 37  | M      | 42189-2345678-1 | 03214567890 | XYZ456 | 4       | 1       | 0      | 0             | 3            | 2023-06-30
114         | Mehak Rashid          | 30  | F      | 42190-7654321-2 | 03316789543 | ABC789 | 3       | 0       | 0      | 1             | 2            | 2023-05-07
115         | Asad Ali              | 28  | M      | 42191-9876543-3 | 03411234567 | PQR012 | 2       | 1       | 0      | 0             | 1            | 2023-10-08
116         | Saima Khan            | 32  | F      | 42192-8765432-4 | 03121234567 | LMN345 | 1       | 0       | 0      | 1             | 1            | 2023-09-15
117         | Farhan Iqbal          | 34  | M      | 42193-8765432-4 | 03121234567 | UVW789 | 1       | 0       | 0      | 1             | 1            | 2023-09-25
118         | Hira Iqbal            | 27  | F      | 42194-9876543-3 | 03314567890 | UVW901 | 3       | 0       | 1      | 0             | 2            | 2023-10-20
119         | Nabeel Khan           | 33  | M      | 42195-2345678-1 | 03411234567 | XYZ234 | 2       | 1       | 0      | 0             | 1            | 2023-11-25
120         | Ayesha Ahmed          | 28  | F      | 42196-8765432-4 | 03121234567 | ABC567 | 1       | 0       | 0      | 1             | 1            | 2023-12-30
121         | Ali Riaz              | 31  | M      | 42197-2345678-1 | 03316789543 | PQR890 | 4       | 1       | 0      | 0             | 3            | 2023-01-04
123         | Imran Malik           | 34  | M      | 42199-9876543-3 | 03314567890 | OPQ456 | 2       | 0       | 1      | 0             | 2            | 2023-03-20
124         | Saba Ahmed            | 29  | F      | 42200-8765432-4 | 03121234567 | UVW789 | 1       | 0       | 0      | 1             | 1            | 2023-04-25
125         | Farhan Iqbal          | 37  | M      | 42201-2345678-1 | 03214567890 | XYZ012 | 4       | 1       | 0      | 0             | 3            | 2023-05-30
126         | Hina Riaz             | 30  | F      | 42202-7654321-2 | 03316789543 | ABC345 | 3       | 0       | 1      | 0             | 2            | 2023-06-04
127         | Adnan Ali             | 28  | M      | 42203-9876543-3 | 03411234567 | PQR678 | 2       | 1       | 0      | 0             | 1            | 2023-07-08
128         | Nazia Iftikhar        | 32  | F      | 42204-8765432-4 | 03121234567 | LMN901 | 1       | 0       | 0      | 1             | 1            | 2023-08-02
129         | Ahmed Ali             | 29  | M      | 42205-2345678-1 | 03214567890 | OPQ234 | 4       | 0       | 1      | 0             | 3            | 2023-09-20
130         | Saima Khan            | 27  | F      | 42206-7654321-2 | 03316789543 | UVW567 | 3       | 0       | 1      | 0             | 2            | 2023-10-25
131         | Bilal Ahmed           | 33  | M      | 42207-9876543-3 | 03411234567 | XYZ890 | 2       | 1       | 0      | 0             | 1            | 2023-11-30
132         | Hina Riaz             | 30  | F      | 42208-7654321-2 | 03316789543 | ABC123 | 1       | 0       | 0      | 1             | 1            | 2023-12-04
133         | Adnan Ali             | 28  | M      | 42209-9876543-3 | 03411234567 | PQR456 | 4       | 0       | 1      | 0             | 3            | 2023-01-08
134         | Nazia Iftikhar        | 32  | F      | 42210-8765432-4 | 03121234567 | LMN789 | 3       | 0       | 0      | 1             | 2            | 2023-02-15
135         | Ahmed Ali             | 29  | M      | 42211-2345678-1 | 03214567890 | OPQ012 | 2       | 1       | 0      | 0             | 1            | 2023-03-20
136         | Saima Khan            | 27  | F      | 42212-7654321-2 | 03316789543 | UVW345 | 1       | 0       | 0      | 1             | 1            | 2023-04-25
137         | Bilal Ahmed           | 33  | M      | 42213-9876543-3 | 03411234567 | XYZ678 | 4       | 1       | 0      | 0             | 3            | 2023-05-30
138         | Hina Riaz             | 30  | F      | 42214-7654321-2 | 03316789543 | ABC901 | 3       | 0       | 1      | 0             | 2            | 2023-06-04
139         | Adnan Ali             | 28  | M      | 42215-9876543-3 | 03411234567 | PQR234 | 2       | 1       | 0      | 0             | 1            | 2023-07-08
140         | Nazia Iftikhar        | 32  | F      | 42216-8765432-4 | 03121234567 | LMN567 | 1       | 0       | 0      | 1             | 1            | 2023-08-02
141         | Ahmed Ali             | 29  | M      | 42217-2345678-1 | 03214567890 | OPQ890 | 4       | 0       | 1      | 0             | 3            | 2023-09-20
142         | Saima Khan            | 27  | F      | 42218-7654321-2 | 03316789543 | UVW123 | 3       | 0       | 1      | 0             | 2            | 2023-10-25
143         | Bilal Ahmed           | 33  | M      | 42219-9876543-3 | 03411234567 | XYZ456 | 2       | 1       | 0      | 0             | 1            | 2023-11-30
144         | Hina Riaz             | 30  | F      | 42220-7654321-2 | 03121234567 | ABC789 | 1       | 0       | 0      | 1             | 1            | 2023-12-04
145         | Adnan Ali             | 28  | M      | 42221-9876543-3 | 03314567890 | PQR012 | 4       | 0       | 1      | 0             | 3            | 2022-01-08
146         | Nazia Iftikhar        | 32  | F      | 42222-8765432-4 | 03411234567 | LMN345 | 3       | 0       | 0      | 1             | 2            | 2022-02-15
147         | Ahmed Ali             | 29  | M      | 42223-2345678-1 | 03316789543 | OPQ678 | 2       | 1       | 0      | 0             | 1            | 2022-03-20
148         | Saima Khan            | 27  | F      | 42224-7654321-2 | 03417894561 | UVW901 | 1       | 0       | 0      | 1             | 1            | 2022-04-25
149         | Bilal Ahmed           | 33  | M      | 42225-9876543-3 | 03314567890 | XYZ234 | 4       | 1       | 0      | 0             | 3            | 2022-05-30
150         | Hina Riaz             | 30  | F      | 42226-7654321-2 | 03121234567 | ABC567 | 3       | 0       | 1      | 0             | 2            | 2022-06-04
151         | Adnan Ali             | 28  | M      | 42227-9876543-3 | 03214567890 | PQR890 | 2       | 1       | 0      | 0             | 1            | 2022-07-08
152         | Nazia Iftikhar        | 32  | F      | 42228-8765432-4 | 03316789543 | LMN123 | 1       | 0       | 0      | 1             | 1            | 2022-08-02
153         | Ahmed Ali             | 29  | M      | 42229-2345678-1 | 03411234567 | OPQ456 | 4       | 0       | 1      | 0             | 3            | 2022-09-20
154         | Saima Khan            | 27  | F      | 42230-7654321-2 | 03121234567 | UVW789 | 3       | 0       | 0      | 1             | 2            | 2022-10-25
155         | Bilal Ahmed           | 33  | M      | 42231-9876543-3 | 03214567890 | XYZ012 | 2       | 1       | 0      | 0             | 1            | 2022-11-30
156         | Hina Riaz             | 30  | F      | 42232-7654321-2 | 03316789543 | ABC345 | 1       | 0       | 0      | 1             | 1            | 2022-12-04
157         | Adnan Ali             | 28  | M      | 42233-9876543-3 | 03411234567 | PQR678 | 4       | 1       | 0      | 0             | 3            | 2023-01-08
158         | Nazia Iftikhar        | 32  | F      | 42234-8765432-4 | 03121234567 | LMN901 | 3       | 0       | 1      | 0             | 2            | 2023-02-15
159         | Ahmed Ali             | 29  | M      | 42235-2345678-1 | 03316789543 | OPQ234 | 2       | 1       | 0      | 0             | 1            | 2023-03-20
160         | Saima Khan            | 27  | F      | 42236-7654321-2 | 03417894561 | UVW567 | 1       | 0       | 0      | 1             | 1            | 2023-04-25
161         | John Doe              | 35  | M      | 42123-9876543-3 | 03123456789 | XYZ890 | 0       | 1       | 1      | 0             | 1            | 2023-05-15
162         | Aisha Ahmed           | 31  | F      | 42237-8765432-3 | 03321234567 | LMN123 | 2       | 0       | 0      | 1             | 1            | 2023-06-20
163         | Ali Riaz              | 34  | M      | 42238-2345678-3 | 03418907654 | OPQ456 | 1       | 1       | 0      | 0             | 2            | 2023-07-12
164         | Samina Iftikhar       | 28  | F      | 42239-3456789-2 | 03217654321 | UVW789 | 3       | 0       | 1      | 0             | 1            | 2023-08-28
165         | Farhan Ali            | 29  | M      | 42240-5678901-3 | 03321234567 | XYZ012 | 2       | 1       | 0      | 0             | 3            | 2023-09-15
166         | Hira Khan             | 26  | F      | 42241-2345678-3 | 03418907654 | ABC345 | 1       | 0       | 0      | 1             | 2            | 2023-10-02
167         | Imran Ahmed           | 32  | M      | 42242-3456789-1 | 03126543210 | PQR678 | 4       | 1       | 1      | 0             | 1            | 2023-11-18
168         | Zara Ali              | 30  | F      | 42243-5678901-3 | 03214321098 | LMN901 | 0       | 1       | 0      | 0             | 1            | 2023-12-10
169         | Usman Khan            | 33  | M      | 42244-7890123-3 | 03327654321 | OPQ234 | 2       | 0       | 0      | 1             | 2            | 2024-01-25
170         | Saba Iftikhar         | 27  | F      | 42245-8901234-1 | 03421234567 | UVW567 | 1       | 0       | 0      | 1             | 1            | 2024-02-08
171         | Kashif Ahmed          | 36  | M      | 42246-0123456-3 | 03128907654 | XYZ890 | 0       | 1       | 0      | 0             | 3            | 2024-03-22
172         | Nida Riaz             | 29  | F      | 42247-8901234-3 | 03226543210 | ABC123 | 2       | 0       | 1      | 0             | 2            | 2024-04-05
173         | Hasan Ali             | 31  | M      | 42248-0123456-2 | 03321234567 | PQR456 | 1       | 1       | 0      | 0             | 1            | 2024-05-19
174         | Ayesha Khan           | 28  | F      | 42249-2345678-3 | 03428907654 | LMN789 | 3       | 0       | 0      | 1             | 1            | 2024-06-02
175         | Bilal Ahmed           | 34  | M      | 42250-3456789-1 | 03126543210 | OPQ012 | 2       | 1       | 1      | 0             | 2            | 2024-07-16
177         | Imran Khan            | 32  | M      | 42252-6789012-3 | 03321234567 | XYZ678 | 4       | 1       | 0      | 0             | 1            | 2024-09-13
178         | Maria Iftikhar        | 30  | F      | 42253-7890123-3 | 03426543210 | ABC901 | 0       | 1       | 1      | 0             | 2            | 2024-10-27
179         | Noman Ahmed           | 33  | M      | 42254-8901234-3 | 03124321098 | PQR234 | 2       | 0       | 0      | 1             | 1            | 2024-11-10
180         | Sofia Riaz            | 27  | F      | 42255-0123456-3 | 03221234567 | LMN567 | 1       | 0       | 0      | 1             | 3            | 2024-12-24
181         | Amir Ali              | 36  | M      | 42256-2345678-1 | 03324321098 | OPQ789 | 0       | 1       | 0      | 0             | 1            | 2025-01-07
182         | Hira Ahmed            | 29  | F      | 42257-3456789-3 | 03421234567 | UVW012 | 2       | 0       | 1      | 0             | 2            | 2025-02-20
183         | Usman Riaz            | 31  | M      | 42258-5678901-3 | 03128907654 | XYZ345 | 1       | 1       | 0      | 0             | 1            | 2025-03-21
184         | Ayesha Ali            | 28  | F      | 42259-6789012-3 | 03226543210 | ABC678 | 3       | 0       | 0      | 1             | 3            | 2025-04-20
185         | Bilal Khan            | 34  | M      | 42260-7890123-1 | 03321234567 | PQR901 | 2       | 1       | 0      | 0             | 1            | 2025-05-04
186         | Maria Riaz            | 26  | F      | 42261-8901234-3 | 03428907654 | LMN234 | 1       | 0       | 1      | 0             | 2            | 2025-06-18
187         | Naeem Ahmed           | 32  | M      | 42262-0123456-3 | 03126543210 | OPQ567 | 4       | 1       | 0      | 0             | 1            | 2025-07-02
188         | Sana Iftikhar         | 30  | F      | 42263-2345678-3 | 03224321098 | UVW890 | 0       | 1       | 0      | 0             | 3            | 2025-08-16
189         | Zain Ali              | 33  | M      | 42264-3456789-1 | 03321234567 | XYZ123 | 2       | 0       | 1      | 0             | 2            | 2025-09-30
190         | Fariha Khan           | 27  | F      | 42265-5678901-3 | 03428907654 | ABC456 | 1       | 0       | 0      | 1             | 1            | 2025-10-14
191         | Imran Riaz            | 36  | M      | 42266-6789012-3 | 03126543210 | PQR789 | 0       | 1       | 1      | 0             | 2            | 2025-11-28
192         | Sehrish Ahmed         | 29  | F      | 42267-7890123-3 | 03224321098 | LMN012 | 2       | 0       | 0      | 1             | 1            | 2025-12-12
193         | Tariq Ali             | 31  | M      | 42268-8901234-2 | 03321234567 | UVW345 | 1       | 1       | 0      | 0             | 3            | 2026-01-26
194         | Nazia Riaz            | 28  | F      | 42269-0123456-3 | 03428907654 | XYZ678 | 3       | 0       | 0      | 1             | 1            | 2026-02-09
195         | Asim Khan             | 34  | M      | 42270-2345678-3 | 03126543210 | ABC901 | 2       | 1       | 0      | 0             | 2            | 2026-03-25
196         | Amina Ali             | 26  | F      | 42271-3456789-1 | 03224321098 | PQR234 | 1       | 0       | 1      | 0             | 1            | 2026-04-08
197         | Rashid Ahmed          | 32  | M      | 42272-5678901-3 | 03321234567 | LMN567 | 4       | 1       | 0      | 0             | 3            | 2026-05-22
198         | Samina Riaz           | 30  | F      | 42273-6789012-3 | 03428907654 | UVW890 | 0       | 1       | 0      | 0             | 1            | 2026-06-05
199         | Nabeel Ali            | 33  | M      | 42274-7890123-3 | 03126543210 | XYZ123 | 2       | 0       | 1      | 0             | 2            | 2026-07-19
200         | Saba Ahmed            | 27  | F      | 42275-8901234-3 | 03224321098 | ABC456 | 1       | 0       | 0      | 1             | 1            | 2026-08-02
201         | Farhan Riaz           | 29  | M      | 42276-0123456-1 | 03321234567 | PQR789 | 3       | 0       | 0      | 1             | 2            | 2026-09-16
202         | Aisha Ali             | 31  | F      | 42277-1234567-3 | 03428907654 | LMN012 | 2       | 1       | 0      | 0             | 1            | 2026-10-30
203         | Ali Khan              | 28  | M      | 42278-2345678-3 | 03126543210 | UVW345 | 1       | 0       | 1      | 0             | 3            | 2026-11-13
204         | Saima Riaz            | 34  | F      | 42279-3456789-3 | 03224321098 | XYZ678 | 2       | 1       | 0      | 0             | 1            | 2026-12-27
